category,file,line,text
ignore-comment,App.xaml.cs,18,/// App.xaml 的交互逻辑
ignore-comment,App.xaml.cs,27,/// 应用程序是否正在关闭
ignore-comment,App.xaml.cs,32,/// 服务提供者
ignore-comment,App.xaml.cs,37,/// 应用程序启动
ignore-comment,App.xaml.cs,43,// 1. 单实例检测
maybe,App.xaml.cs,47,"FindResource(""ProgramAlreadyRunning"")?.ToString() ?? ""程序已运行，请勿重复启动。"","
ignore-comment,App.xaml.cs,55,// 2. 注册全局异常处理
ignore-comment,App.xaml.cs,58,// 3. 初始化目录结构
ignore-comment,App.xaml.cs,61,// 4. 初始化日志框架
ignore-comment,App.xaml.cs,64,// 5. 初始化数据库
ignore-comment,App.xaml.cs,67,// 6. 配置依赖注入
ignore-comment,App.xaml.cs,72,// 7. 加载配置
ignore-comment,App.xaml.cs,76,// 8. 应用主题
ignore-comment,App.xaml.cs,80,// 8.1 应用保存的主题色
ignore-comment,App.xaml.cs,91,// 颜色解析失败时使用默认颜色
ignore-comment,App.xaml.cs,95,// 9. 应用语言
ignore-comment,App.xaml.cs,99,// 10. 显示主窗口
ignore-comment,App.xaml.cs,103,// 11. 注册视图映射
ignore-comment,App.xaml.cs,129,/// 应用程序退出
ignore-comment,App.xaml.cs,133,// 立即设置关闭标志，这是最高优先级
ignore-comment,App.xaml.cs,138,// 处理 Dispatcher 中的待处理消息，防止关闭时触发新的 UI 操作
ignore-comment,App.xaml.cs,141,// 处理所有待处理的 Dispatcher 消息
ignore-comment,App.xaml.cs,149,// 等待异步操作检测到关闭标志
ignore-comment,App.xaml.cs,152,// 记录关闭日志
maybe,App.xaml.cs,155,"_logHelper?.Information($""{Constants.APP_DISPLAY_NAME} 正在关闭"");"
ignore-comment,App.xaml.cs,159,// 保存配置
ignore-comment,App.xaml.cs,167,// 释放日志资源（设置超时避免卡住）
ignore-comment,App.xaml.cs,175,// 释放 Mutex
ignore-comment,App.xaml.cs,184,// 释放服务提供者 - 这会触发所有 IDisposable 服务的 Dispose
ignore-comment,App.xaml.cs,185,// 注意：这可能会触发 ViewModel 的属性变更
ignore-comment,App.xaml.cs,200,// 调用基类的 OnExit
ignore-comment,App.xaml.cs,203,// 不使用 Environment.Exit(0)，让应用程序自然退出
ignore-comment,App.xaml.cs,204,// 如果应用仍然无法退出，可能是因为有后台线程在运行
ignore-comment,App.xaml.cs,205,// 在这种情况下，可以考虑使用延迟的强制退出
ignore-comment,App.xaml.cs,211,// 如果 2 秒后应用仍未退出，强制退出
ignore-comment,App.xaml.cs,218,/// 检查单实例
ignore-comment,App.xaml.cs,227,/// 注册全局异常处理
ignore-comment,App.xaml.cs,231,// UI线程异常
ignore-comment,App.xaml.cs,234,// 非UI线程异常
ignore-comment,App.xaml.cs,237,// Task异常
ignore-comment,App.xaml.cs,242,/// UI线程异常处理
ignore-comment,App.xaml.cs,246,// 如果应用正在关闭，标记异常已处理并返回
maybe,App.xaml.cs,252,"HandleException(e.Exception, ""UI线程异常"");"
ignore-comment,App.xaml.cs,257,/// 非UI线程异常处理
ignore-comment,App.xaml.cs,261,// 如果应用正在关闭，不处理
maybe,App.xaml.cs,267,"HandleException(ex, ""应用程序异常"");"
ignore-comment,App.xaml.cs,272,/// Task异常处理
ignore-comment,App.xaml.cs,276,// 始终标记为已观察，防止应用崩溃
ignore-comment,App.xaml.cs,279,// 如果应用正在关闭，不处理
ignore-comment,App.xaml.cs,282,// 忽略取消异常
maybe,App.xaml.cs,289,"HandleException(e.Exception!, ""Task异常"");"
ignore-comment,App.xaml.cs,293,/// 处理异常
ignore-comment,App.xaml.cs,297,// 如果应用正在关闭，不显示错误弹窗
ignore-comment,App.xaml.cs,308,// 处理 TargetInvocationException，获取真实的内部异常
ignore-comment,App.xaml.cs,315,// 忽略取消操作产生的异常
ignore-comment,App.xaml.cs,322,// 忽略跨线程访问异常（在关闭时常见）
maybe,App.xaml.cs,324,"ioe.Message.Contains(""调用线程无法访问此对象""))"
ignore-comment,App.xaml.cs,330,// 检查内部异常是否为取消异常
ignore-comment,App.xaml.cs,337,// 记录日志
maybe,App.xaml.cs,340,"_logHelper?.Error($""[{source}] 应用程序异常"", ex, new Dictionary<string, object>"
ignore-comment,App.xaml.cs,353,// 显示友好提示
ignore-comment,App.xaml.cs,356,// 再次检查关闭状态，防止竞态条件
maybe,App.xaml.cs,360,"? ""应用程序发生未知错误。"""
maybe,App.xaml.cs,361,": $""应用程序发生错误，请联系技术支持。\n\n错误信息：{ex.Message}"";"
maybe,App.xaml.cs,365,"""错误"","
ignore-comment,App.xaml.cs,371,// 如果显示 MessageBox 失败，忽略
ignore-comment,App.xaml.cs,376,/// 初始化目录结构
ignore-comment,App.xaml.cs,403,/// 初始化日志框架
ignore-comment,App.xaml.cs,412,// 配置日志选项
ignore-comment,App.xaml.cs,428,// 创建 LogHelper 实例
ignore-comment,App.xaml.cs,431,// 记录启动日志
maybe,App.xaml.cs,432,"_logHelper.Information($""{Constants.APP_DISPLAY_NAME} {Constants.VERSION_FULL} 启动"", new Dictionary<string, object>"
ignore-comment,App.xaml.cs,442,// 如果日志初始化失败，输出到调试窗口
maybe,App.xaml.cs,443,"System.Diagnostics.Debug.WriteLine($""日志初始化失败: {ex.Message}"");"
ignore-comment,App.xaml.cs,449,/// 初始化数据库
maybe,App.xaml.cs,455,"_logHelper?.Information(""开始初始化数据库..."");"
ignore-comment,App.xaml.cs,459,// 同步执行数据库初始化（启动时必须完成）
maybe,App.xaml.cs,462,"_logHelper?.Information(""数据库初始化完成"");"
maybe,App.xaml.cs,466,"_logHelper?.Error(""数据库初始化失败"", ex);"
maybe,App.xaml.cs,467,"System.Diagnostics.Debug.WriteLine($""数据库初始化失败: {ex.Message}"");"
ignore-comment,App.xaml.cs,470,// 数据库初始化失败是致命错误，显示错误并退出
maybe,App.xaml.cs,472,"$""数据库初始化失败：{ex.Message}\n\n应用程序将退出。"","
ignore-comment,App.xaml.cs,481,/// 配置服务
ignore-comment,App.xaml.cs,485,// ========== Singleton 服务 ==========
ignore-comment,App.xaml.cs,496,// ========== Transient 服务 ==========
ignore-comment,App.xaml.cs,513,// ========== ViewModel 注册 ==========
ignore-comment,App.xaml.cs,528,// Settings 子 ViewModel
ignore-comment,App.xaml.cs,536,// Measurement 模块 ViewModel
ignore-comment,App.xaml.cs,541,// ========== View 注册 ==========
ignore-comment,App.xaml.cs,557,// Measurement 模块 View
ignore-comment,MainWindow.xaml.cs,14,/// MainWindow.xaml 的交互逻辑
ignore-comment,MainWindow.xaml.cs,69,// 窗口大小调整方向
ignore-comment,MainWindow.xaml.cs,87,/// 构造函数
ignore-comment,MainWindow.xaml.cs,93,// 从DI容器获取ViewModel
ignore-comment,MainWindow.xaml.cs,96,// 订阅状态变化
ignore-comment,MainWindow.xaml.cs,103,/// 窗口句柄初始化后挂载 WndProc，确保最大化时不遮挡任务栏
ignore-comment,MainWindow.xaml.cs,135,/// 窗口状态变化处理
ignore-comment,MainWindow.xaml.cs,139,// 标题栏已移至 TitleBarControl，默认处理逻辑在此可扩展
ignore-comment,MainWindow.xaml.cs,143,/// 主窗口关闭后确保应用退出，覆盖 Alt+F4、系统关闭等非显式 Shutdown 路径。
ignore-comment,MainWindow.xaml.cs,159,/// 标题栏拖动
ignore-comment,MainWindow.xaml.cs,170,// 双击切换最大化/还原
ignore-comment,MainWindow.xaml.cs,175,// 仅在普通窗口状态下允许拖动；最大化时单击不做任何操作
ignore-comment,MainWindow.xaml.cs,181,/// 设置顶部标题栏交互状态。
ignore-comment,MainWindow.xaml.cs,199,/// 最小化按钮点击
ignore-comment,MainWindow.xaml.cs,207,/// 最大化/还原按钮点击
ignore-comment,MainWindow.xaml.cs,215,/// 关闭按钮点击（备用，实际由 TitleBarControl 路由事件驱动）
ignore-comment,MainWindow.xaml.cs,223,/// 标题栏组件关闭路由事件处理，包含确认对话框逻辑
must,MainWindow.xaml.cs,235,"Title = ""停止分析"","
must,MainWindow.xaml.cs,236,"Message = ""当前分析任务正在运行，关闭窗口会停止本次分析。是否确认停止分析并退出软件？"","
must,MainWindow.xaml.cs,237,"ConfirmText = ""确定"","
must,MainWindow.xaml.cs,238,"CancelText = ""取消"","
must,MainWindow.xaml.cs,259,"Title = FindResource(""ConfirmExit"")?.ToString() ?? ""确认退出"","
must,MainWindow.xaml.cs,260,"Message = FindResource(""ExitConfirmMessage"")?.ToString() ?? ""确认退出系统？"","
must,MainWindow.xaml.cs,261,"ConfirmText = ""确定"","
must,MainWindow.xaml.cs,262,"CancelText = ""取消"","
ignore-comment,MainWindow.xaml.cs,273,// 标记已处理，阻止 TitleBarControl 内部继续执行 window.Close()
ignore-comment,MainWindow.xaml.cs,278,/// 切换最大化/还原
ignore-comment,MainWindow.xaml.cs,294,/// 窗口边框拖动调整大小
ignore-comment,MainWindow.xaml.cs,320,/// 调整窗口大小
ignore-comment,MainWindow.xaml.cs,332,/// 键盘按下事件处理
ignore-comment,MainWindow.xaml.cs,336,// ESC键退出全屏
ignore-comment,Common\Constants.cs,4,/// 应用程序常量定义
ignore,Common\Constants.cs,8,#region 版本信息
ignore-comment,Common\Constants.cs,11,/// 发布版本号（显示在主界面、登录界面）
ignore-comment,Common\Constants.cs,16,"/// 完整版本号（显示在""关于我们""界面）"
ignore-comment,Common\Constants.cs,21,"/// 版权声明（显示在""关于我们""界面）"
ignore-comment,Common\Constants.cs,26,/// 内部版本号（用于开发测试）
ignore,Common\Constants.cs,32,#region 项目标识
ignore-comment,Common\Constants.cs,35,/// 应用名称
ignore-comment,Common\Constants.cs,40,/// 应用显示名称
maybe,Common\Constants.cs,42,"public const string APP_DISPLAY_NAME = ""步态智能分析系统"";"
ignore-comment,Common\Constants.cs,45,/// 应用英文显示名称
ignore-comment,Common\Constants.cs,50,/// 激活系统使用的软件型号
ignore-comment,Common\Constants.cs,55,/// 在线激活接口
ignore-comment,Common\Constants.cs,60,/// 单实例 Mutex 名称
ignore,Common\Constants.cs,66,#region 默认账号
ignore-comment,Common\Constants.cs,69,/// 默认密码
ignore-comment,Common\Constants.cs,74,/// 管理员账号
ignore-comment,Common\Constants.cs,79,/// 普通用户账号
ignore-comment,Common\Constants.cs,84,/// 游客账号
ignore,Common\Constants.cs,90,#region 验证规则
ignore-comment,Common\Constants.cs,93,/// 账号最小长度
ignore-comment,Common\Constants.cs,98,/// 账号最大长度
ignore-comment,Common\Constants.cs,103,/// 密码最小长度
ignore-comment,Common\Constants.cs,108,/// 密码最大长度
ignore-comment,Common\Constants.cs,113,/// 姓名最小长度
ignore-comment,Common\Constants.cs,118,/// 姓名最大长度
ignore-comment,Common\Constants.cs,123,/// 电话最小长度
ignore-comment,Common\Constants.cs,128,/// 电话最大长度
ignore-comment,Common\Constants.cs,133,/// 证件号最大长度
ignore-comment,Common\Constants.cs,138,/// 搜索框最大长度
ignore-comment,Common\Constants.cs,143,/// 单位名称最大长度
ignore-comment,Common\Constants.cs,148,/// 科室名称最大长度
ignore,Common\Constants.cs,154,#region 数值范围
ignore-comment,Common\Constants.cs,157,/// 身高最小值 (cm)
ignore-comment,Common\Constants.cs,162,/// 身高最大值 (cm)
ignore-comment,Common\Constants.cs,167,/// 体重最小值 (kg)
ignore-comment,Common\Constants.cs,172,/// 体重最大值 (kg)
ignore-comment,Common\Constants.cs,177,/// 出生日期最早年份偏移（150年前）
ignore,Common\Constants.cs,183,#region 分页设置
ignore-comment,Common\Constants.cs,186,/// 患者列表每页条数
ignore-comment,Common\Constants.cs,191,/// 默认每页条数
ignore-comment,Common\Constants.cs,196,/// 医生意见最大长度
ignore,Common\Constants.cs,202,#region 文件路径
ignore-comment,Common\Constants.cs,205,/// 数据库文件名
ignore-comment,Common\Constants.cs,210,/// 配置文件名
ignore-comment,Common\Constants.cs,215,/// 备份文件前缀
ignore-comment,Common\Constants.cs,220,/// 日志文件前缀
ignore-comment,Common\Constants.cs,225,/// 数据库目录
ignore-comment,Common\Constants.cs,230,/// 备份目录
ignore-comment,Common\Constants.cs,235,/// 日志目录
ignore-comment,Common\Constants.cs,240,/// 报告目录
ignore-comment,Common\Constants.cs,245,/// 视频目录
ignore-comment,Common\Constants.cs,250,/// 临时目录（游客数据）
ignore-comment,Common\Constants.cs,255,/// 配置目录
ignore,Common\Constants.cs,261,#region 时间格式
ignore-comment,Common\Constants.cs,264,/// 日期格式
ignore-comment,Common\Constants.cs,269,/// 日期时间格式
ignore-comment,Common\Constants.cs,274,/// 包含星期的日期时间格式
ignore-comment,Common\Constants.cs,279,/// 列表显示的日期时间格式
ignore-comment,Common\Constants.cs,284,/// 报告日期格式
maybe,Common\Constants.cs,286,"public const string DATE_REPORT_FORMAT = ""yyyy年MM月dd日"";"
ignore-comment,Common\Constants.cs,289,/// 备份文件时间戳格式
ignore,Common\Constants.cs,295,#region 日志设置
ignore-comment,Common\Constants.cs,298,/// 日志文件最大大小 (MB)
ignore-comment,Common\Constants.cs,303,/// 日志保留天数
ignore,Common\Constants.cs,309,#region 备份设置
ignore-comment,Common\Constants.cs,312,/// 默认备份时间
ignore-comment,Common\Constants.cs,317,/// 默认保留备份数
