file,line,text
App.xaml,13,<!--  Material Design 主题  -->
App.xaml,19,<!--  Material Design 默认样式  -->
App.xaml,22,<!--  多语言资源 - 默认中文  -->
App.xaml,25,<!--  自定义样式  -->
App.xaml,33,<!--  Override framework default background so DynamicResource MaterialDesign.Brush.Background 使用公司颜色  -->
App.xaml,56,字体资源
App.xaml,57,Alibaba PuHuiTi 3.0 仅包含 Regular (55) 字重文件，
App.xaml,58,Medium / Bold 等字重在该字体中无真实字形，WPF 会合成粗体导致显示异常。
App.xaml,59,"因此使用""Microsoft YaHei UI""作为主字体（系统自带 Light / Regular / Bold），"
App.xaml,60,Alibaba PuHuiTi 3.0 保留作为备选。如需完整使用 Alibaba PuHuiTi，
App.xaml,61,请将 65-Medium、75-SemiBold、85-Bold 等字重 TTF 文件放入 Resources/Fonts 文件夹。
App.xaml,66,全局字体样式 —— 通过 TextElement.FontFamily 向下继承到所有子元素，
App.xaml,67,不覆盖 TextBlock / Button / TextBox 等控件的隐式样式，
App.xaml,68,避免破坏 MaterialDesign 内部控件模板
MainWindow.xaml,35,<!--  标题栏：登录页时折叠为 0，其他页面显示  -->
MainWindow.xaml,40,<!--  顶部标题栏：登录页时折叠隐藏，其他页面共用  -->
MainWindow.xaml,47,"UserDisplayName=""{Binding UserDisplayName, FallbackValue=游客}"""
Controls\TitleBarControl.xaml,18,<!-- 左侧 Logo 区域 -->
Controls\TitleBarControl.xaml,20,<!-- 中间弹性占位 -->
Controls\TitleBarControl.xaml,22,<!-- 中间标题（绝对居中通过 Grid 覆盖实现） -->
Controls\TitleBarControl.xaml,24,<!-- 右侧用户区 + 窗口控制按钮 -->
Controls\TitleBarControl.xaml,28,<!-- ① 左侧 Logo -->
Controls\TitleBarControl.xaml,37,<!-- ② 中间系统标题（跨全列居中，使用 Grid 覆盖保证真正居中） -->
Controls\TitleBarControl.xaml,40,"Text=""步态信息采集系统"""
Controls\TitleBarControl.xaml,49,<!-- ③ 右侧：用户信息 + 窗口控制按钮 -->
Controls\TitleBarControl.xaml,55,<!-- 用户区域 -->
Controls\TitleBarControl.xaml,60,"<!-- ""你好！""文字 -->"
Controls\TitleBarControl.xaml,61,"<TextBlock Text=""你好！"""
Controls\TitleBarControl.xaml,67,<!-- 账号图标 -->
Controls\TitleBarControl.xaml,74,<!-- 当前账号名 -->
Controls\TitleBarControl.xaml,96,"ToolTip=""退出登录"">"
Controls\TitleBarControl.xaml,144,<!-- 窗口控制按钮：最小化 -->
Controls\TitleBarControl.xaml,153,"ToolTip=""最小化"">"
Controls\TitleBarControl.xaml,179,<!-- 最小化符号：使用文字或 Path，此处用 Unicode 横线 -->
Controls\TitleBarControl.xaml,189,<!-- 窗口控制按钮：关闭 -->
Controls\TitleBarControl.xaml,198,"ToolTip=""关闭"">"
Controls\TitleBarControl.xaml,224,<!-- ✕ 关闭符号 -->
Views\ActivationView.xaml,152,"Text=""软件激活"" />"
Views\ActivationView.xaml,159,"Text=""请完成软件授权激活后继续使用系统"" />"
Views\ActivationView.xaml,182,"<TextBlock Grid.Row=""0"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""软件名称"" />"
Views\ActivationView.xaml,184,"<TextBlock Grid.Row=""0"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""产品型号"" />"
Views\ActivationView.xaml,187,"<TextBlock Grid.Row=""1"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""软件版本"" />"
Views\ActivationView.xaml,189,"<TextBlock Grid.Row=""1"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""MAC地址"" />"
Views\ActivationView.xaml,192,"<TextBlock Grid.Row=""2"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""CPU编号"" />"
Views\ActivationView.xaml,194,"<TextBlock Grid.Row=""2"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""硬盘信息"" />"
Views\ActivationView.xaml,197,"<TextBlock Grid.Row=""3"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""BIOS编号"" />"
Views\ActivationView.xaml,199,"<TextBlock Grid.Row=""3"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""机器码"" />"
Views\ActivationView.xaml,212,"Text=""复制"" />"
Views\ActivationView.xaml,229,"Text=""复制设备信息"" />"
Views\ActivationView.xaml,242,"<TextBlock Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""产品编号"" />"
Views\ActivationView.xaml,247,"<TextBlock Grid.Column=""3"" Style=""{StaticResource ActivationLabelStyle}"" Text=""激活码"" />"
Views\ActivationView.xaml,275,"Text=""在线激活"" />"
Views\ActivationView.xaml,287,"Text=""离线激活"" />"
Views\DataManagementView.xaml,107,<!--  日期范围框中单个日期的样式：使用 Button + Popup + Calendar，不使用 DatePicker  -->
Views\DataManagementView.xaml,109,<!--  状态下拉框：外层 Border 画完整圆角框，内层 Grid 分左右两列（文字 + 箭头）  -->
Views\DataManagementView.xaml,167,<!--  ToggleButton 铺满整个控件，既是可视外框也是点击区域  -->
Views\DataManagementView.xaml,190,<!--  箭头放在右侧  -->
Views\DataManagementView.xaml,211,<!--  选中项文字：叠加在 ToggleButton 之上，不接收点击  -->
Views\DataManagementView.xaml,222,<!--  下拉弹出层  -->
Views\DataManagementView.xaml,392,<!--  ==================== 日期范围控件（完全不使用 DatePicker） ====================  -->
Views\DataManagementView.xaml,403,<!--  起始日期文本  -->
Views\DataManagementView.xaml,405,<!--  起始日期日历图标  -->
Views\DataManagementView.xaml,407,<!--  分隔符  -->
Views\DataManagementView.xaml,409,<!--  截止日期文本  -->
Views\DataManagementView.xaml,411,<!--  截止日期日历图标  -->
Views\DataManagementView.xaml,413,<!--  清空按钮（固定占位）  -->
Views\DataManagementView.xaml,417,<!--  起始日期文本  -->
Views\DataManagementView.xaml,463,<!--  起始日期日历图标（常驻）  -->
Views\DataManagementView.xaml,488,<!--  分隔符  -->
Views\DataManagementView.xaml,498,<!--  截止日期文本  -->
Views\DataManagementView.xaml,544,<!--  截止日期日历图标（常驻）  -->
Views\DataManagementView.xaml,569,<!--  清空按钮（固定列宽，不改变 Visibility，用 Opacity 控制显隐）  -->
Views\DataManagementView.xaml,607,<!--  ==================== 状态下拉框 ====================  -->
Views\DataManagementView.xaml,618,"Text=""状态"" />"
Views\DataManagementView.xaml,653,"Text=""搜索"" />"
Views\DataManagementView.xaml,685,"Text=""编号"" />"
Views\DataManagementView.xaml,689,"Text=""姓名"" />"
Views\DataManagementView.xaml,693,"Text=""性别"" />"
Views\DataManagementView.xaml,697,"Text=""年龄"" />"
Views\DataManagementView.xaml,701,"Text=""测量日期"" />"
Views\DataManagementView.xaml,705,"Text=""状态"" />"
Views\DataManagementView.xaml,709,"Text=""操作"" />"
Views\DataManagementView.xaml,713,"Text=""详情"" />"
Views\DataManagementView.xaml,717,"Text=""导出"" />"
Views\DataManagementView.xaml,721,"Text=""删除"" />"
Views\DataManagementView.xaml,896,"Text=""正在加载数据..."" />"
Views\DataManagementView.xaml,905,"Text=""暂无数据"">"
Views\DataManagementView.xaml,963,"Text=""批量导出"" />"
Views\DataManagementView.xaml,992,"Text=""导入包"" />"
Views\DataManagementView.xaml,1031,"Text=""删除"" />"
Views\DataManagementView.xaml,1161,"Text=""{Binding SelectedCount, StringFormat=已选 {0} 项}"" />"
Views\LoginView.xaml,18,<!-- 输入框内左侧图标样式 -->
Views\LoginView.xaml,29,<!-- 无边框输入框基础样式 -->
Views\LoginView.xaml,47,<!-- 占位文字 -->
Views\LoginView.xaml,73,<!-- Text为null时也显示占位符 -->
Views\LoginView.xaml,83,<!-- 无边框密码框样式 -->
Views\LoginView.xaml,101,"<!-- 占位文字：Tag==""""（无密码）时可见 -->"
Views\LoginView.xaml,109,"Text=""请输入密码"""
Views\LoginView.xaml,120,<!-- Tag 为空字符串时表示密码为空，显示水印 -->
Views\LoginView.xaml,130,<!-- 密码可见时的文本框样式（复用 LoginTextBoxStyle） -->
Views\LoginView.xaml,136,<!-- 密码可见性切换按钮样式 -->
Views\LoginView.xaml,161,<!-- 中心主卡片容器 -->
Views\LoginView.xaml,184,<!-- 左侧展示区约 850/1620 ≈ 52.5% -->
Views\LoginView.xaml,186,<!-- 右侧登录区约 770/1620 ≈ 47.5% -->
Views\LoginView.xaml,190,<!-- ========== 左侧展示区 ========== -->
Views\LoginView.xaml,213,<!-- 产品展示图 -->
Views\LoginView.xaml,225,<!-- 系统名称 -->
Views\LoginView.xaml,237,<!-- ========== 右侧登录区 ========== -->
Views\LoginView.xaml,239,<!-- 关闭按钮（右上角） -->
Views\LoginView.xaml,266,<!-- 登录表单区 -->
Views\LoginView.xaml,272,"<!-- 标题""账号登录"" -->"
Views\LoginView.xaml,278,"Text=""账号登录"" />"
Views\LoginView.xaml,280,<!-- 账号输入框 -->
Views\LoginView.xaml,286,"Tag=""请输入账号"""
Views\LoginView.xaml,297,<!-- 密码输入框 -->
Views\LoginView.xaml,299,<!-- 隐藏密码模式 - PasswordBox -->
Views\LoginView.xaml,311,<!-- 显示密码模式 - TextBox -->
Views\LoginView.xaml,316,"Tag=""请输入密码"""
Views\LoginView.xaml,323,<!-- 左侧锁图标 -->
Views\LoginView.xaml,327,<!-- 右侧密码可见性切换按钮 -->
Views\LoginView.xaml,348,<!-- 记住密码 -->
Views\LoginView.xaml,355,<!-- 记住密码 -->
Views\LoginView.xaml,380,<!-- 错误信息 -->
Views\LoginView.xaml,389,<!-- 登录按钮 -->
Views\MainContainerView.xaml,321,"<TextBlock Style=""{StaticResource HeaderLabelTextStyle}"" Text=""姓名："" />"
Views\MainContainerView.xaml,328,"<TextBlock Style=""{StaticResource HeaderLabelTextStyle}"" Text=""性别："" />"
Views\MainContainerView.xaml,353,"Text=""更换患者"" />"
Views\PatientSelectionView.xaml,19,<!--  页面级按钮模板（圆角 16）  -->
Views\PatientSelectionView.xaml,46,<!--  分页箭头按钮样式  -->
Views\PatientSelectionView.xaml,75,<!--  页码数字按钮样式（非当前页）  -->
Views\PatientSelectionView.xaml,141,<!--  ═══════════════════ 主内容卡片 ═══════════════════  -->
Views\PatientSelectionView.xaml,163,<!--  ═══════════════════ 三、搜索区和操作按钮区 ═══════════════════  -->
Views\PatientSelectionView.xaml,172,<!--  搜索框  -->
Views\PatientSelectionView.xaml,185,<!--  占位提示文字  -->
Views\PatientSelectionView.xaml,193,"Text=""输入患者姓名关键字"">"
Views\PatientSelectionView.xaml,208,<!--  实际输入框  -->
Views\PatientSelectionView.xaml,224,<!--  清除按钮（X）  -->
Views\PatientSelectionView.xaml,277,<!--  搜索按钮  -->
Views\PatientSelectionView.xaml,300,"Text=""搜索"" />"
Views\PatientSelectionView.xaml,304,<!--  添加按钮  -->
Views\PatientSelectionView.xaml,328,"Text=""添加"" />"
Views\PatientSelectionView.xaml,333,<!--  右侧：导出 + 导入  -->
Views\PatientSelectionView.xaml,359,"Text=""导出"" />"
Views\PatientSelectionView.xaml,384,"Text=""导入"" />"
Views\PatientSelectionView.xaml,390,<!--  已选提示（轻量）  -->
Views\PatientSelectionView.xaml,415,<!--  ═══════════════════ 四、患者信息列表区域 ═══════════════════  -->
Views\PatientSelectionView.xaml,416,<!--  列表标题栏  -->
Views\PatientSelectionView.xaml,434,<!--  全选按钮（可点击）  -->
Views\PatientSelectionView.xaml,447,"Text=""编号"" />"
Views\PatientSelectionView.xaml,455,"Text=""姓名"" />"
Views\PatientSelectionView.xaml,463,"Text=""性别"" />"
Views\PatientSelectionView.xaml,471,"Text=""年龄"" />"
Views\PatientSelectionView.xaml,479,"Text=""身高(CM)"" />"
Views\PatientSelectionView.xaml,487,"Text=""身份证号"" />"
Views\PatientSelectionView.xaml,495,"Text=""编辑"" />"
Views\PatientSelectionView.xaml,503,"Text=""删除"" />"
Views\PatientSelectionView.xaml,506,<!--  列表内容区（禁用滚动条，按可视高度动态分页）  -->
Views\PatientSelectionView.xaml,552,<!--  选择框图标  -->
Views\PatientSelectionView.xaml,571,<!--  显示序号（跨页连续）  -->
Views\PatientSelectionView.xaml,621,<!--  编辑按钮  -->
Views\PatientSelectionView.xaml,637,<!--  删除按钮  -->
Views\PatientSelectionView.xaml,664,<!--  ═══════════════════ 五、分页区域 ═══════════════════  -->
Views\PatientSelectionView.xaml,672,<!--  上一页箭头  -->
Views\PatientSelectionView.xaml,685,<!--  页码列表：每项固定宽 65px，保证中心间距 65px  -->
Views\PatientSelectionView.xaml,694,<!--  每个页码项固定 65px 宽，高 40px，内容居中  -->
Views\PatientSelectionView.xaml,697,<!--  省略号（不可点击，IsEllipsis=True 时显示）  -->
Views\PatientSelectionView.xaml,718,<!--  当前页高亮块（IsCurrent=True 且非省略号时显示）  -->
Views\PatientSelectionView.xaml,749,<!--  非当前页数字按钮（可点击，IsCurrent=False 且非省略号时显示）  -->
Views\PatientSelectionView.xaml,782,<!--  下一页箭头  -->
Views\ReportView.xaml,408,"Text=""输入姓名"">"
Views\ReportView.xaml,711,"Text=""搜索"" />"
Views\ReportView.xaml,769,"Text=""编号"" />"
Views\ReportView.xaml,773,"Text=""姓名"" />"
Views\ReportView.xaml,777,"Text=""测量日期"" />"
Views\ReportView.xaml,781,"Text=""详情"" />"
Views\ReportView.xaml,785,"Text=""导出"" />"
Views\ReportView.xaml,789,"Text=""打印"" />"
Views\ReportView.xaml,913,"Text=""正在加载数据..."" />"
Views\ReportView.xaml,936,"Text=""暂无报告数据"" />"
Views\ReportView.xaml,982,"Text=""全部导出"" />"
Views\ReportView.xaml,1113,"Text=""{Binding SelectedReportTotalCount, StringFormat=已选 {0} 项}"" />"
Views\ReportView.xaml,1152,"Text=""报告摘要"" />"
Views\ReportView.xaml,1164,"Text=""选中左侧列表的一行可预览报告摘要"" />"
Views\ReportView.xaml,1205,"<TextBlock Style=""{StaticResource ReportPreviewSectionTitleStyle}"" Text=""报告基础信息"" />"
Views\ReportView.xaml,1234,"<TextBlock Style=""{StaticResource ReportPreviewSectionTitleStyle}"" Text=""关键指标"" />"
Views\ReportView.xaml,1263,"<TextBlock Style=""{StaticResource ReportPreviewSectionTitleStyle}"" Text=""报告内容摘要"" />"
Views\ReportView.xaml,1313,"Text=""暂无数据"" />"
Views\ReportView.xaml,1326,"Content=""查看完整报告"""
Views\ReportView.xaml,1332,"Content=""导出报告"""
Views\ReportView.xaml,1337,"Content=""打印报告"""
Views\Dialogs\AboutDialog.xaml,82,"Text=""关于我们"" />"
Views\Dialogs\AboutDialog.xaml,170,"<TextBlock Grid.Row=""0"" Grid.Column=""0"" Style=""{StaticResource InfoLabelStyle}"" Text=""软件版本"" />"
Views\Dialogs\AboutDialog.xaml,173,"<TextBlock Grid.Row=""1"" Grid.Column=""0"" Style=""{StaticResource InfoLabelStyle}"" Text=""发布版本"" />"
Views\Dialogs\AboutDialog.xaml,176,"<TextBlock Grid.Row=""2"" Grid.Column=""0"" Style=""{StaticResource InfoLabelStyle}"" Text=""内部版本"" />"
Views\Dialogs\AboutDialog.xaml,179,"<TextBlock Grid.Row=""3"" Grid.Column=""0"" Style=""{StaticResource InfoLabelStyle}"" Text=""协议版本"" />"
