category,file,line,text
ignore-comment,App.xaml,13,<!--  Material Design 主题  -->
ignore-comment,App.xaml,19,<!--  Material Design 默认样式  -->
ignore-comment,App.xaml,22,<!--  多语言资源 - 默认中文  -->
ignore-comment,App.xaml,25,<!--  自定义样式  -->
ignore-comment,App.xaml,33,<!--  Override framework default background so DynamicResource MaterialDesign.Brush.Background 使用公司颜色  -->
ignore-comment,App.xaml,56,字体资源
ignore-comment,App.xaml,57,Alibaba PuHuiTi 3.0 仅包含 Regular (55) 字重文件，
ignore-comment,App.xaml,58,Medium / Bold 等字重在该字体中无真实字形，WPF 会合成粗体导致显示异常。
ignore-comment,App.xaml,59,"因此使用""Microsoft YaHei UI""作为主字体（系统自带 Light / Regular / Bold），"
ignore-comment,App.xaml,60,Alibaba PuHuiTi 3.0 保留作为备选。如需完整使用 Alibaba PuHuiTi，
ignore-comment,App.xaml,61,请将 65-Medium、75-SemiBold、85-Bold 等字重 TTF 文件放入 Resources/Fonts 文件夹。
ignore-comment,App.xaml,66,全局字体样式 —— 通过 TextElement.FontFamily 向下继承到所有子元素，
ignore-comment,App.xaml,67,不覆盖 TextBlock / Button / TextBox 等控件的隐式样式，
ignore-comment,App.xaml,68,避免破坏 MaterialDesign 内部控件模板
ignore-comment,MainWindow.xaml,35,<!--  标题栏：登录页时折叠为 0，其他页面显示  -->
ignore-comment,MainWindow.xaml,40,<!--  顶部标题栏：登录页时折叠隐藏，其他页面共用  -->
maybe,MainWindow.xaml,47,"UserDisplayName=""{Binding UserDisplayName, FallbackValue=游客}"""
ignore-comment,Controls\TitleBarControl.xaml,18,<!-- 左侧 Logo 区域 -->
ignore-comment,Controls\TitleBarControl.xaml,20,<!-- 中间弹性占位 -->
ignore-comment,Controls\TitleBarControl.xaml,22,<!-- 中间标题（绝对居中通过 Grid 覆盖实现） -->
ignore-comment,Controls\TitleBarControl.xaml,24,<!-- 右侧用户区 + 窗口控制按钮 -->
ignore-comment,Controls\TitleBarControl.xaml,28,<!-- ① 左侧 Logo -->
ignore-comment,Controls\TitleBarControl.xaml,37,<!-- ② 中间系统标题（跨全列居中，使用 Grid 覆盖保证真正居中） -->
must,Controls\TitleBarControl.xaml,40,"Text=""步态信息采集系统"""
ignore-comment,Controls\TitleBarControl.xaml,49,<!-- ③ 右侧：用户信息 + 窗口控制按钮 -->
ignore-comment,Controls\TitleBarControl.xaml,55,<!-- 用户区域 -->
ignore-comment,Controls\TitleBarControl.xaml,60,"<!-- ""你好！""文字 -->"
must,Controls\TitleBarControl.xaml,61,"<TextBlock Text=""你好！"""
ignore-comment,Controls\TitleBarControl.xaml,67,<!-- 账号图标 -->
ignore-comment,Controls\TitleBarControl.xaml,74,<!-- 当前账号名 -->
must,Controls\TitleBarControl.xaml,96,"ToolTip=""退出登录"">"
ignore-comment,Controls\TitleBarControl.xaml,144,<!-- 窗口控制按钮：最小化 -->
must,Controls\TitleBarControl.xaml,153,"ToolTip=""最小化"">"
ignore-comment,Controls\TitleBarControl.xaml,179,<!-- 最小化符号：使用文字或 Path，此处用 Unicode 横线 -->
ignore-comment,Controls\TitleBarControl.xaml,189,<!-- 窗口控制按钮：关闭 -->
must,Controls\TitleBarControl.xaml,198,"ToolTip=""关闭"">"
ignore-comment,Controls\TitleBarControl.xaml,224,<!-- ✕ 关闭符号 -->
must,Views\ActivationView.xaml,152,"Text=""软件激活"" />"
must,Views\ActivationView.xaml,159,"Text=""请完成软件授权激活后继续使用系统"" />"
must,Views\ActivationView.xaml,182,"<TextBlock Grid.Row=""0"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""软件名称"" />"
must,Views\ActivationView.xaml,184,"<TextBlock Grid.Row=""0"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""产品型号"" />"
must,Views\ActivationView.xaml,187,"<TextBlock Grid.Row=""1"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""软件版本"" />"
must,Views\ActivationView.xaml,189,"<TextBlock Grid.Row=""1"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""MAC地址"" />"
must,Views\ActivationView.xaml,192,"<TextBlock Grid.Row=""2"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""CPU编号"" />"
must,Views\ActivationView.xaml,194,"<TextBlock Grid.Row=""2"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""硬盘信息"" />"
must,Views\ActivationView.xaml,197,"<TextBlock Grid.Row=""3"" Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""BIOS编号"" />"
must,Views\ActivationView.xaml,199,"<TextBlock Grid.Row=""3"" Grid.Column=""2"" Style=""{StaticResource ActivationLabelStyle}"" Text=""机器码"" />"
must,Views\ActivationView.xaml,212,"Text=""复制"" />"
must,Views\ActivationView.xaml,229,"Text=""复制设备信息"" />"
must,Views\ActivationView.xaml,242,"<TextBlock Grid.Column=""0"" Style=""{StaticResource ActivationLabelStyle}"" Text=""产品编号"" />"
must,Views\ActivationView.xaml,247,"<TextBlock Grid.Column=""3"" Style=""{StaticResource ActivationLabelStyle}"" Text=""激活码"" />"
must,Views\ActivationView.xaml,275,"Text=""在线激活"" />"
must,Views\ActivationView.xaml,287,"Text=""离线激活"" />"
ignore-comment,Views\DataManagementView.xaml,107,<!--  日期范围框中单个日期的样式：使用 Button + Popup + Calendar，不使用 DatePicker  -->
ignore-comment,Views\DataManagementView.xaml,109,<!--  状态下拉框：外层 Border 画完整圆角框，内层 Grid 分左右两列（文字 + 箭头）  -->
ignore-comment,Views\DataManagementView.xaml,167,<!--  ToggleButton 铺满整个控件，既是可视外框也是点击区域  -->
ignore-comment,Views\DataManagementView.xaml,190,<!--  箭头放在右侧  -->
ignore-comment,Views\DataManagementView.xaml,211,<!--  选中项文字：叠加在 ToggleButton 之上，不接收点击  -->
